	Neighborhood	SalePrice
1291	BrDale	119500
1292	OldTown	107500
1293	NWAmes	162900
1294	Edwards	115000
1295	NAmes	138500
1296	NAmes	155000
1297	Edwards	140000
1298	Edwards	160000
1299	NAmes	154000
1300	Gilbert	225000
1301	Crawfor	177500
1302	NoRidge	290000
1303	Somerst	232000
1304	Edwards	130000
1305	NridgHt	325000
1306	NridgHt	202500
1307	CollgCr	138000
1308	OldTown	147000
1309	SawyerW	179200
1310	Crawfor	335000
1311	CollgCr	203000
1312	NoRidge	302000
1313	NoRidge	333168
1314	Edwards	119000
1315	NAmes	206900
1316	CollgCr	295493
1317	Somerst	208900
1318	CollgCr	275000
1319	Edwards	111000
1320	NAmes	156500
1321	BrkSide	72500
1322	NoRidge	190000
1323	BrkSide	82500
1324	Somerst	147000
1325	IDOTRR	55000
1326	Edwards	79000
1327	Mitchel	130500
1328	OldTown	256000
1329	Gilbert	176500
1330	Somerst	227000
1331	CollgCr	132500
1332	Edwards	100000
1333	IDOTRR	125500
1334	BrDale	125000
1335	NWAmes	167900
1336	NWAmes	135000
1337	OldTown	52500
1338	CollgCr	200000
1339	CollgCr	128500
1340	NAmes	123000
1341	SawyerW	155000
1342	CollgCr	228500
1343	Crawfor	177000
1344	CollgCr	155835
1345	OldTown	108500
1346	NWAmes	262500
1347	Timber	283463
1348	SawyerW	215000
1349	OldTown	122000
1350	NAmes	200000
1351	NAmes	171000
1352	BrkSide	134900
1353	NoRidge	410000
1354	CollgCr	235000
1355	NWAmes	170000
1356	NAmes	110000
1357	NAmes	149900
1358	Somerst	177500
1359	NridgHt	315000
1360	SWISU	189000
1361	StoneBr	260000
1362	NAmes	104900
1363	Gilbert	156932
1364	Somerst	144152
1365	Somerst	216000
1366	CollgCr	193000
1367	MeadowV	127000
1368	CollgCr	144000
1369	CollgCr	232000
1370	OldTown	105000
1371	NAmes	165500
1372	CollgCr	274300
1373	NoRidge	466500
1374	Somerst	250000
1375	Timber	239000
1376	SWISU	91000
1377	Edwards	117000
1378	BrDale	83000
1379	Timber	167500
1380	Edwards	58500
1381	NAmes	237500
1382	OldTown	157000
1383	Sawyer	112000
1384	Edwards	105000
1385	IDOTRR	125500
1386	NWAmes	250000
1387	OldTown	136000
1388	Gilbert	377500
1389	BrkSide	131000
1390	CollgCr	235000
1391	NAmes	124000
1392	NAmes	123000
1393	OldTown	163000
1394	Blmngtn	246578
1395	Timber	281213
1396	Timber	160000
1397	BrkSide	137500
1398	NAmes	138000
1399	SWISU	137450
1400	BrkSide	120000
1401	Gilbert	193000
1402	CollgCr	193879
1403	Somerst	282922
1404	OldTown	105000
1405	Crawfor	275000
1406	CollgCr	133000
1407	Mitchel	112000
1408	OldTown	125500
1409	NWAmes	215000
1410	CollgCr	230000
1411	NAmes	140000
1412	NAmes	90000
1413	SawyerW	257000
1414	BrkSide	207000
1415	Blmngtn	175900
1416	OldTown	122500
1417	NoRidge	340000
1418	NAmes	124000
1419	Crawfor	223000
1420	NWAmes	179900
1421	NPkVill	127500
1422	CollgCr	136500
1423	Edwards	274970
1424	NAmes	144000
1425	NAmes	142000
1426	NoRidge	271000
1427	NAmes	140000
1428	OldTown	119000
1429	NWAmes	182900
1430	Gilbert	192140
1431	NPkVill	143750
1432	OldTown	64500
1433	Gilbert	186500
1434	Mitchel	160000
1435	NAmes	174000
1436	NAmes	120500
1437	NridgHt	394617
1438	OldTown	149700
1439	NWAmes	197000
1440	Crawfor	191000
1441	CollgCr	149300
1442	Somerst	310000
1443	BrkSide	121000
1444	CollgCr	179600
1445	Sawyer	129000
1446	Mitchel	157900
1447	CollgCr	240000
1448	Edwards	112000
1449	MeadowV	92000
1450	NAmes	136000
1451	Somerst	287090
1452	Edwards	145000
1453	Mitchel	84500
1454	Somerst	185000
1455	Gilbert	175000
1456	NWAmes	210000
1457	Crawfor	266500
1458	NAmes	142125
1459	Edwards	147500
